# 4fed241d-79e4-4d23-b063-92e8517cdff6
# e9a19b38e509a0346497c558d966096436d47c65
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0395098; 0.1406291; 1.8019468; -0.0004933; 12.0000000; 0.0000000
0.1999405; -0.2341348; 0.0948328; 1.8018484; -0.0004910; 12.0000000; 0.0000000
0.3998809; -0.4287643; 0.0490556; 1.8017505; -0.0004887; 12.0000000; 0.0000000
0.5998214; -0.6233983; 0.0032974; 1.8016530; -0.0004864; 12.0000000; 0.0000000
0.7997618; -0.8180367; -0.0424418; 1.8015560; -0.0004841; 12.0000000; 0.0000000
0.9997023; -1.0126795; -0.0881622; 1.8014594; -0.0004818; 12.0000000; 0.0000000
1.1996427; -1.2073267; -0.1338639; 1.8013633; -0.0004796; 12.0000000; 0.0000000
1.3995832; -1.4019783; -0.1795469; 1.8012677; -0.0004773; 12.0000000; 0.0000000
1.5995236; -1.5966343; -0.2252113; 1.8011725; -0.0004750; 12.0000000; 0.0000000
1.7994641; -1.7912946; -0.2708572; 1.8010777; -0.0004727; 12.0000000; 0.0000000
1.9994045; -1.9859592; -0.3164847; 1.8009834; -0.0004704; 12.0000000; 0.0000000
2.1993450; -2.1806281; -0.3620939; 1.8008896; -0.0004681; 12.0000000; 0.0000000
2.3992855; -2.3753013; -0.4076849; 1.8007962; -0.0004659; 12.0000000; 0.0000000
2.5992259; -2.5699787; -0.4532578; 1.8007033; -0.0004636; 12.0000000; 0.0000000
2.7991664; -2.7646604; -0.4988126; 1.8006109; -0.0004613; 12.0000000; 0.0000000
2.9991068; -2.9593462; -0.5443494; 1.8005188; -0.0004590; 12.0000000; 0.0000000
3.1990473; -3.1540363; -0.5898684; 1.8004273; -0.0004567; 12.0000000; 0.0000000
3.3989877; -3.3487304; -0.6353696; 1.8003362; -0.0004544; 12.0000000; 0.0000000
3.5989282; -3.5434288; -0.6808532; 1.8002456; -0.0004522; 12.0000000; 0.0000000
3.7988686; -3.7381312; -0.7263191; 1.8001554; -0.0004499; 12.0000000; 0.0000000
3.9988091; -3.9328377; -0.7717675; 1.8000657; -0.0004476; 12.0000000; 0.0000000
4.1987495; -4.1275483; -0.8171985; 1.7999764; -0.0004453; 12.0000000; 0.0000000
4.3986900; -4.3222629; -0.8626121; 1.7998876; -0.0004430; 12.0000000; 0.0000000
4.5986304; -4.5169816; -0.9080085; 1.7997993; -0.0004407; 12.0000000; 0.0000000
4.7985709; -4.7117042; -0.9533877; 1.7997114; -0.0004385; 12.0000000; 0.0000000
4.9985114; -4.9064308; -0.9987499; 1.7996239; -0.0004362; 12.0000000; 0.0000000
5.1984518; -5.1011614; -1.0440951; 1.7995369; -0.0004339; 12.0000000; 0.0000000
5.3983923; -5.2958959; -1.0894234; 1.7994504; -0.0004316; 12.0000000; 0.0000000
5.5983327; -5.4906344; -1.1347349; 1.7993644; -0.0004293; 12.0000000; 0.0000000
5.7982732; -5.6853767; -1.1800296; 1.7992787; -0.0004270; 12.0000000; 0.0000000
5.9982136; -5.8801229; -1.2253078; 1.7991936; -0.0004248; 12.0000000; 0.0000000
6.1981541; -6.0748729; -1.2705694; 1.7991089; -0.0004225; 12.0000000; 0.0000000
6.3980945; -6.2696267; -1.3158145; 1.7990246; -0.0004202; 12.0000000; 0.0000000
6.5980350; -6.4643844; -1.3610433; 1.7989409; -0.0004179; 12.0000000; 0.0000000
6.7979754; -6.6591458; -1.4062558; 1.7988575; -0.0004156; 12.0000000; 0.0000000
6.9979159; -6.8539110; -1.4514522; 1.7987747; -0.0004133; 12.0000000; 0.0000000
7.1978564; -7.0486799; -1.4966324; 1.7986922; -0.0004111; 12.0000000; 0.0000000
7.3977968; -7.2434525; -1.5417966; 1.7986103; -0.0004088; 12.0000000; 0.0000000
7.5977373; -7.4382289; -1.5869449; 1.7985288; -0.0004065; 12.0000000; 0.0000000
7.7976777; -7.6330089; -1.6320774; 1.7984477; -0.0004042; 12.0000000; 0.0000000
7.9976182; -7.8277925; -1.6771942; 1.7983672; -0.0004019; 12.0000000; 0.0000000
8.1975586; -8.0225798; -1.7222952; 1.7982870; -0.0003996; 12.0000000; 0.0000000
8.3974991; -8.2173706; -1.7673808; 1.7982073; -0.0003974; 12.0000000; 0.0000000
8.5974395; -8.4121651; -1.8124508; 1.7981281; -0.0003951; 12.0000000; 0.0000000
8.7973800; -8.6069631; -1.8575055; 1.7980494; -0.0003928; 12.0000000; 0.0000000
8.9973204; -8.8017646; -1.9025448; 1.7979711; -0.0003905; 12.0000000; 0.0000000
9.1972609; -8.9965697; -1.9475690; 1.7978932; -0.0003882; 12.0000000; 0.0000000
9.3972013; -9.1913782; -1.9925780; 1.7978158; -0.0003859; 12.0000000; 0.0000000
9.5971418; -9.3861903; -2.0375720; 1.7977389; -0.0003837; 12.0000000; 0.0000000
9.7970823; -9.5810057; -2.0825510; 1.7976624; -0.0003814; 12.0000000; 0.0000000
9.9970227; -9.7758246; -2.1275152; 1.7975864; -0.0003791; 12.0000000; 0.0000000
10.1969632; -9.9706470; -2.1724647; 1.7975108; -0.0003768; 12.0000000; 0.0000000
10.3969036; -10.1654727; -2.2173994; 1.7974357; -0.0003745; 12.0000000; 0.0000000
10.5968441; -10.3603017; -2.2623196; 1.7973610; -0.0003722; 12.0000000; 0.0000000
10.7967845; -10.5551341; -2.3072252; 1.7972868; -0.0003700; 12.0000000; 0.0000000
10.9967250; -10.7499699; -2.3521165; 1.7972131; -0.0003677; 12.0000000; 0.0000000
11.1966654; -10.9448089; -2.3969934; 1.7971398; -0.0003654; 12.0000000; 0.0000000
11.3966059; -11.1396512; -2.4418561; 1.7970670; -0.0003631; 12.0000000; 0.0000000
11.5965463; -11.3344967; -2.4867047; 1.7969946; -0.0003608; 12.0000000; 0.0000000
11.7964868; -11.5293455; -2.5315391; 1.7969227; -0.0003585; 12.0000000; 0.0000000
11.9964273; -11.7241976; -2.5763597; 1.7968513; -0.0003563; 12.0000000; 0.0000000
12.1963677; -11.9190528; -2.6211663; 1.7967803; -0.0003540; 12.0000000; 0.0000000
12.3963082; -12.1139111; -2.6659592; 1.7967097; -0.0003517; 12.0000000; 0.0000000
12.5962486; -12.3087727; -2.7107383; 1.7966396; -0.0003494; 12.0000000; 0.0000000
12.7961891; -12.5036373; -2.7555039; 1.7965700; -0.0003471; 12.0000000; 0.0000000
12.9961295; -12.6985051; -2.8002559; 1.7965008; -0.0003448; 12.0000000; 0.0000000
13.1960700; -12.8933759; -2.8449944; 1.7964321; -0.0003426; 12.0000000; 0.0000000
13.3960104; -13.0882498; -2.8897197; 1.7963638; -0.0003403; 12.0000000; 0.0000000
13.5959509; -13.2831268; -2.9344316; 1.7962960; -0.0003380; 12.0000000; 0.0000000
13.7958913; -13.4780067; -2.9791305; 1.7962287; -0.0003357; 12.0000000; 0.0000000
13.9958318; -13.6728897; -3.0238162; 1.7961618; -0.0003334; 12.0000000; 0.0000000
14.1957722; -13.8677756; -3.0684889; 1.7960954; -0.0003311; 12.0000000; 0.0000000
14.3957127; -14.0626645; -3.1131487; 1.7960294; -0.0003289; 12.0000000; 0.0000000
14.5956532; -14.2575564; -3.1577958; 1.7959638; -0.0003266; 12.0000000; 0.0000000
14.7955936; -14.4524511; -3.2024300; 1.7958988; -0.0003243; 12.0000000; 0.0000000
14.9955341; -14.6473488; -3.2470517; 1.7958342; -0.0003220; 12.0000000; 0.0000000
15.1954745; -14.8422493; -3.2916608; 1.7957700; -0.0003197; 12.0000000; 0.0000000
15.3954150; -15.0371527; -3.3362574; 1.7957063; -0.0003174; 12.0000000; 0.0000000
15.5953554; -15.2320589; -3.3808417; 1.7956431; -0.0003152; 12.0000000; 0.0000000
15.7952959; -15.4269679; -3.4254137; 1.7955803; -0.0003129; 12.0000000; 0.0000000
15.9952363; -15.6218797; -3.4699735; 1.7955180; -0.0003106; 12.0000000; 0.0000000
16.1951768; -15.8167943; -3.5145212; 1.7954561; -0.0003083; 12.0000000; 0.0000000
16.3951172; -16.0117116; -3.5590569; 1.7953947; -0.0003060; 12.0000000; 0.0000000
16.5950577; -16.2066316; -3.6035807; 1.7953337; -0.0003037; 12.0000000; 0.0000000
16.7949982; -16.4015543; -3.6480926; 1.7952732; -0.0003014; 12.0000000; 0.0000000
16.9949386; -16.5964798; -3.6925927; 1.7952132; -0.0002992; 12.0000000; 0.0000000
17.1948791; -16.7914078; -3.7370813; 1.7951536; -0.0002969; 12.0000000; 0.0000000
17.3948195; -16.9863386; -3.7815582; 1.7950945; -0.0002946; 12.0000000; 0.0000000
17.5947600; -17.1812719; -3.8260237; 1.7950358; -0.0002923; 12.0000000; 0.0000000
17.7947004; -17.3762079; -3.8704777; 1.7949776; -0.0002900; 12.0000000; 0.0000000
17.9946409; -17.5711464; -3.9149205; 1.7949198; -0.0002877; 12.0000000; 0.0000000
18.1945813; -17.7660874; -3.9593520; 1.7948625; -0.0002855; 12.0000000; 0.0000000
18.3945218; -17.9610311; -4.0037724; 1.7948057; -0.0002832; 12.0000000; 0.0000000
18.5944622; -18.1559772; -4.0481818; 1.7947493; -0.0002809; 12.0000000; 0.0000000
18.7944027; -18.3509258; -4.0925803; 1.7946933; -0.0002786; 12.0000000; 0.0000000
18.9943431; -18.5458769; -4.1369678; 1.7946379; -0.0002763; 12.0000000; 0.0000000
19.1942836; -18.7408304; -4.1813446; 1.7945828; -0.0002740; 12.0000000; 0.0000000
19.3942241; -18.9357864; -4.2257108; 1.7945283; -0.0002718; 12.0000000; 0.0000000
19.5941645; -19.1307448; -4.2700663; 1.7944742; -0.0002695; 12.0000000; 0.0000000
19.7941050; -19.3257056; -4.3144113; 1.7944205; -0.0002672; 12.0000000; 0.0000000
19.9940454; -19.5206687; -4.3587459; 1.7943673; -0.0002649; 12.0000000; 0.0000000
20.1939859; -19.7156342; -4.4030702; 1.7943146; -0.0002626; 12.0000000; 0.0000000
20.3939263; -19.9106020; -4.4473842; 1.7942623; -0.0002603; 12.0000000; 0.0000000
20.5938668; -20.1055722; -4.4916881; 1.7942105; -0.0002581; 12.0000000; 0.0000000
20.7938072; -20.3005446; -4.5359819; 1.7941591; -0.0002558; 12.0000000; 0.0000000
20.9937477; -20.4955193; -4.5802658; 1.7941082; -0.0002535; 12.0000000; 0.0000000
21.1936881; -20.6904962; -4.6245398; 1.7940577; -0.0002512; 12.0000000; 0.0000000
21.3936286; -20.8854753; -4.6688040; 1.7940077; -0.0002489; 12.0000000; 0.0000000
21.5935691; -21.0804567; -4.7130585; 1.7939582; -0.0002466; 12.0000000; 0.0000000
21.7935095; -21.2754402; -4.7573033; 1.7939091; -0.0002444; 12.0000000; 0.0000000
21.9934500; -21.4704259; -4.8015387; 1.7938605; -0.0002421; 12.0000000; 0.0000000
22.1933904; -21.6654137; -4.8457646; 1.7938123; -0.0002398; 12.0000000; 0.0000000
22.3933309; -21.8604037; -4.8899811; 1.7937646; -0.0002375; 12.0000000; 0.0000000
22.5932713; -22.0553957; -4.9341884; 1.7937173; -0.0002352; 12.0000000; 0.0000000
22.7932118; -22.2503899; -4.9783865; 1.7936705; -0.0002329; 12.0000000; 0.0000000
22.9931522; -22.4453861; -5.0225756; 1.7936242; -0.0002307; 12.0000000; 0.0000000
23.1930927; -22.6403843; -5.0667556; 1.7935783; -0.0002284; 12.0000000; 0.0000000
23.3930331; -22.8353845; -5.1109268; 1.7935328; -0.0002261; 12.0000000; 0.0000000
23.5929736; -23.0303868; -5.1550891; 1.7934879; -0.0002238; 12.0000000; 0.0000000
23.7929140; -23.2253910; -5.1992427; 1.7934433; -0.0002215; 12.0000000; 0.0000000
23.9928545; -23.4203972; -5.2433876; 1.7933993; -0.0002192; 12.0000000; 0.0000000
24.1927950; -23.6154053; -5.2875241; 1.7933557; -0.0002170; 12.0000000; 0.0000000
24.3927354; -23.8104153; -5.3316520; 1.7933125; -0.0002147; 12.0000000; 0.0000000
24.5926759; -24.0054272; -5.3757716; 1.7932698; -0.0002124; 12.0000000; 0.0000000
24.7926163; -24.2004410; -5.4198829; 1.7932276; -0.0002101; 12.0000000; 0.0000000
24.9925568; -24.3954566; -5.4639860; 1.7931858; -0.0002078; 12.0000000; 0.0000000
25.1924972; -24.5904741; -5.5080810; 1.7931445; -0.0002055; 12.0000000; 0.0000000
25.3924377; -24.7854934; -5.5521680; 1.7931036; -0.0002033; 12.0000000; 0.0000000
25.5923781; -24.9805145; -5.5962471; 1.7930632; -0.0002010; 12.0000000; 0.0000000
25.7923186; -25.1755373; -5.6403183; 1.7930232; -0.0001987; 12.0000000; 0.0000000
25.9922590; -25.3705619; -5.6843818; 1.7929837; -0.0001964; 12.0000000; 0.0000000
26.1921995; -25.5655883; -5.7284376; 1.7929447; -0.0001941; 12.0000000; 0.0000000
26.3921400; -25.7606163; -5.7724858; 1.7929061; -0.0001918; 12.0000000; 0.0000000
26.5920804; -25.9556460; -5.8165266; 1.7928680; -0.0001896; 12.0000000; 0.0000000
26.7920209; -26.1506774; -5.8605600; 1.7928303; -0.0001873; 12.0000000; 0.0000000
26.9919613; -26.3457105; -5.9045861; 1.7927931; -0.0001850; 12.0000000; 0.0000000
27.1919018; -26.5407452; -5.9486049; 1.7927563; -0.0001827; 12.0000000; 0.0000000
27.3918422; -26.7357814; -5.9926167; 1.7927200; -0.0001804; 12.0000000; 0.0000000
27.5917827; -26.9308193; -6.0366214; 1.7926842; -0.0001781; 12.0000000; 0.0000000
27.7917231; -27.1258588; -6.0806191; 1.7926488; -0.0001759; 12.0000000; 0.0000000
27.9916636; -27.3208997; -6.1246100; 1.7926139; -0.0001736; 12.0000000; 0.0000000
28.1916040; -27.5159423; -6.1685941; 1.7925794; -0.0001713; 12.0000000; 0.0000000
28.3915445; -27.7109863; -6.2125716; 1.7925454; -0.0001690; 12.0000000; 0.0000000
28.5914849; -27.9060318; -6.2565424; 1.7925118; -0.0001667; 12.0000000; 0.0000000
28.7914254; -28.1010787; -6.3005068; 1.7924787; -0.0001644; 12.0000000; 0.0000000
28.9913659; -28.2961272; -6.3444647; 1.7924460; -0.0001622; 12.0000000; 0.0000000
29.1913063; -28.4911770; -6.3884164; 1.7924138; -0.0001599; 12.0000000; 0.0000000
29.3912468; -28.6862283; -6.4323617; 1.7923821; -0.0001576; 12.0000000; 0.0000000
29.5911872; -28.8812809; -6.4763010; 1.7923508; -0.0001553; 12.0000000; 0.0000000
29.7911277; -29.0763349; -6.5202341; 1.7923200; -0.0001530; 12.0000000; 0.0000000
29.9910681; -29.2713902; -6.5641614; 1.7922896; -0.0001507; 12.0000000; 0.0000000
30.1910086; -29.4664469; -6.6080827; 1.7922597; -0.0001485; 12.0000000; 0.0000000
30.3909490; -29.6615048; -6.6519982; 1.7922303; -0.0001462; 12.0000000; 0.0000000
30.5908895; -29.8565641; -6.6959081; 1.7922013; -0.0001439; 12.0000000; 0.0000000
30.7908299; -30.0516246; -6.7398123; 1.7921727; -0.0001416; 12.0000000; 0.0000000
30.9907704; -30.2466864; -6.7837110; 1.7921446; -0.0001393; 12.0000000; 0.0000000
31.1907109; -30.4417494; -6.8276043; 1.7921170; -0.0001370; 12.0000000; 0.0000000
31.3906513; -30.6368135; -6.8714922; 1.7920898; -0.0001348; 12.0000000; 0.0000000
31.5905918; -30.8318789; -6.9153748; 1.7920631; -0.0001325; 12.0000000; 0.0000000
31.7905322; -31.0269454; -6.9592524; 1.7920368; -0.0001302; 12.0000000; 0.0000000
31.9904727; -31.2220131; -7.0031248; 1.7920110; -0.0001279; 12.0000000; 0.0000000
32.1904131; -31.4170819; -7.0469922; 1.7919857; -0.0001256; 12.0000000; 0.0000000
32.3903536; -31.6121518; -7.0908547; 1.7919608; -0.0001233; 12.0000000; 0.0000000
32.5902940; -31.8072228; -7.1347125; 1.7919364; -0.0001211; 12.0000000; 0.0000000
32.7902345; -32.0022948; -7.1785655; 1.7919124; -0.0001188; 12.0000000; 0.0000000
32.9901749; -32.1973679; -7.2224138; 1.7918889; -0.0001165; 12.0000000; 0.0000000
33.1901154; -32.3924420; -7.2662577; 1.7918658; -0.0001142; 12.0000000; 0.0000000
33.3900558; -32.5875171; -7.3100970; 1.7918432; -0.0001119; 12.0000000; 0.0000000
33.5899963; -32.7825932; -7.3539320; 1.7918210; -0.0001096; 12.0000000; 0.0000000
33.7899368; -32.9776702; -7.3977628; 1.7917993; -0.0001074; 12.0000000; 0.0000000
33.9898772; -33.1727482; -7.4415893; 1.7917781; -0.0001051; 12.0000000; 0.0000000
34.1898177; -33.3678271; -7.4854117; 1.7917573; -0.0001028; 12.0000000; 0.0000000
34.3897581; -33.5629069; -7.5292302; 1.7917370; -0.0001005; 12.0000000; 0.0000000
34.5896986; -33.7579876; -7.5730447; 1.7917171; -0.0000982; 12.0000000; 0.0000000
34.7896390; -33.9530691; -7.6168554; 1.7916977; -0.0000959; 12.0000000; 0.0000000
34.9895795; -34.1481515; -7.6606623; 1.7916788; -0.0000937; 12.0000000; 0.0000000
35.1895199; -34.3432347; -7.7044656; 1.7916603; -0.0000914; 12.0000000; 0.0000000
35.3894604; -34.5383187; -7.7482653; 1.7916422; -0.0000891; 12.0000000; 0.0000000
35.5894008; -34.7334035; -7.7920616; 1.7916246; -0.0000868; 12.0000000; 0.0000000
35.7893413; -34.9284891; -7.8358544; 1.7916075; -0.0000845; 12.0000000; 0.0000000
35.9892818; -35.1235753; -7.8796440; 1.7915908; -0.0000822; 12.0000000; 0.0000000
36.1892222; -35.3186623; -7.9234303; 1.7915746; -0.0000800; 12.0000000; 0.0000000
36.3891627; -35.5137501; -7.9672136; 1.7915589; -0.0000777; 12.0000000; 0.0000000
36.5891031; -35.7088384; -8.0109938; 1.7915436; -0.0000754; 12.0000000; 0.0000000
36.7890436; -35.9039275; -8.0547710; 1.7915287; -0.0000731; 12.0000000; -0.3742061
36.9889840; -36.0990172; -8.0985454; 1.7915143; -0.0000708; 11.9937635; -1.4101190
37.1889245; -36.2941075; -8.1423171; 1.7915004; -0.0000686; 11.9702332; -2.4530114
37.3888649; -36.4891984; -8.1860860; 1.7914869; -0.0000663; 11.9291898; -3.4987663
37.5888054; -36.6842899; -8.2298525; 1.7914742; -0.0000610; 11.8704035; -4.5425746
37.7887458; -36.8793819; -8.2736166; 1.7914636; -0.0000444; 11.7936420; -5.2134617
37.9886863; -37.0744743; -8.3173788; 1.7914552; -0.0000403; 11.7049232; -5.2312573
38.1886268; -37.2695671; -8.3611392; 1.7914416; -0.0000954; 11.6152205; -5.2333992
38.3885672; -37.4646610; -8.4048950; 1.7914048; -0.0002746; 11.5247825; -5.2087895
38.5885077; -37.6597578; -8.4486376; 1.7912931; -0.0008425; 11.4340595; -5.1557196
38.7884481; -37.8548623; -8.4923458; 1.7910446; -0.0016455; 11.3435463; -5.0760660
38.9883886; -38.0499820; -8.5359862; 1.7905794; -0.0030075; 11.2537203; -4.9783985
39.1883290; -38.2451281; -8.5795085; 1.7898289; -0.0045001; 11.1649207; -4.8697865
39.3882695; -38.4403133; -8.6228551; 1.7887799; -0.0059926; 11.0773697; -4.7613172
39.5882099; -38.6355503; -8.6659678; 1.7874326; -0.0074852; 10.9910945; -4.6555151
39.7881504; -38.8308515; -8.7087883; 1.7857868; -0.0089777; 10.9060766; -4.5523403
39.9880908; -39.0262293; -8.7512582; 1.7838425; -0.0104703; 10.8222970; -4.4517533
40.1880313; -39.2216956; -8.7933189; 1.7815999; -0.0119630; 10.7397366; -4.3537117
40.3879717; -39.4172619; -8.8349120; 1.7790588; -0.0134557; 10.6583759; -4.2581712
40.5879122; -39.6129394; -8.8759788; 1.7762192; -0.0149484; 10.5781952; -4.1650857
40.7878527; -39.8087387; -8.9164606; 1.7730812; -0.0164414; 10.4991750; -4.0744078
40.9877931; -40.0046700; -8.9562985; 1.7696446; -0.0179345; 10.4212954; -3.9860886
41.1877336; -40.2007430; -8.9954336; 1.7659095; -0.0194278; 10.3445366; -3.9000781
41.3876740; -40.3969664; -9.0338067; 1.7618758; -0.0209214; 10.2688788; -3.8163256
41.5876145; -40.5933486; -9.0713587; 1.7575434; -0.0224154; 10.1943021; -3.7347790
41.7875549; -40.7898971; -9.1080302; 1.7529123; -0.0239098; 10.1207869; -3.6553860
41.9874954; -40.9866186; -9.1437616; 1.7479823; -0.0254047; 10.0483138; -3.5780934
42.1874358; -41.1835191; -9.1784934; 1.7427534; -0.0269003; 9.9768631; -3.5028475
42.3873763; -41.3806035; -9.2121656; 1.7372253; -0.0283967; 9.9064159; -3.4295940
42.5873167; -41.5778759; -9.2447184; 1.7313980; -0.0298939; 9.8369531; -3.3582783
42.7872572; -41.7753393; -9.2760914; 1.7252713; -0.0313922; 9.7684562; -3.2888453
42.9871977; -41.9729957; -9.3062244; 1.7188448; -0.0328917; 9.7009066; -3.2212396
43.1871381; -42.1708460; -9.3350569; 1.7121184; -0.0343927; 9.6342865; -3.1554052
43.3870786; -42.3688898; -9.3625282; 1.7050917; -0.0358952; 9.5685783; -3.0912859
43.5870190; -42.5671256; -9.3885775; 1.6977645; -0.0373995; 9.5037648; -3.0288251
43.7869595; -42.7655506; -9.4131437; 1.6901362; -0.0389060; 9.4398292; -2.9679656
43.9868999; -42.9641607; -9.4361656; 1.6822066; -0.0404147; 9.3767554; -2.9086500
44.1868404; -43.1629503; -9.4575819; 1.6739750; -0.0419261; 9.3145278; -2.8508200
44.3867808; -43.3619124; -9.4773311; 1.6654409; -0.0434404; 9.2531314; -2.7944170
44.5867213; -43.5610385; -9.4953514; 1.6566038; -0.0449580; 9.1925517; -2.7393814
44.7866617; -43.7603184; -9.5115811; 1.6474629; -0.0464791; 9.1327750; -2.6856532
44.9866022; -43.9597406; -9.5259582; 1.6380174; -0.0480042; 9.0737885; -2.6331711
45.1865426; -44.1592915; -9.5384206; 1.6282666; -0.0495338; 9.0155801; -2.5818730
45.3864831; -44.3589560; -9.5489061; 1.6182095; -0.0510682; 8.9581383; -2.5316957
45.5864236; -44.5587170; -9.5573523; 1.6078450; -0.0526078; 8.9014530; -2.4825744
45.7863640; -44.7585559; -9.5636970; 1.5971722; -0.0541533; 8.8455147; -2.4344431
45.9863045; -44.9584516; -9.5678775; 1.5861898; -0.0557051; 8.7903153; -2.3872337
46.1862449; -45.1583814; -9.5698314; 1.5748964; -0.0572637; 8.7358477; -2.3408764
46.3861854; -45.3583205; -9.5694962; 1.5632906; -0.0588299; 8.6821059; -2.2952994
46.5861258; -45.5582417; -9.5668092; 1.5513709; -0.0604042; 8.6290855; -2.2504280
46.7860663; -45.7581159; -9.5617079; 1.5391355; -0.0619872; 8.5767834; -2.2061850
46.9860067; -45.9579113; -9.5541299; 1.5265827; -0.0635798; 8.5251981; -2.1624900
47.1859472; -46.1575943; -9.5440127; 1.5137105; -0.0651826; 8.4743297; -2.1192593
47.3858876; -46.3571284; -9.5312940; 1.5005167; -0.0667964; 8.4241802; -2.0764050
47.5858281; -46.5564747; -9.5159117; 1.4869991; -0.0684222; 8.3747536; -2.0338350
47.7857686; -46.7555919; -9.4978037; 1.4731551; -0.0700608; 8.3260558; -1.9914523
47.9857090; -46.9544358; -9.4769083; 1.4589822; -0.0717131; 8.2780953; -1.9491546
48.1856495; -47.1529596; -9.4531640; 1.4444775; -0.0733801; 8.2308828; -1.9068332
48.3855899; -47.3511136; -9.4265097; 1.4296379; -0.0750629; 8.1844319; -1.8643728
48.5855304; -47.5488451; -9.3968845; 1.4144601; -0.0767627; 8.1387591; -1.8216507
48.7854708; -47.7460986; -9.3642281; 1.3989407; -0.0784805; 8.0938838; -1.7785354
48.9854113; -47.9428154; -9.3284807; 1.3830760; -0.0802177; 8.0498294; -1.7348861
49.1853517; -48.1389334; -9.2895828; 1.3668618; -0.0819755; 8.0066226; -1.6905517
49.3852922; -48.3343874; -9.2474758; 1.3502940; -0.0837554; 7.9642945; -1.6453691
49.5852326; -48.5291088; -9.2021017; 1.3333681; -0.0855588; 7.9228804; -1.5991620
49.7851731; -48.7230254; -9.1534033; 1.3160790; -0.0873873; 7.8824210; -1.5517397
49.9851135; -48.9160615; -9.1013243; 1.2984218; -0.0892425; 7.8429618; -1.5028951
50.1850540; -49.1081375; -9.0458094; 1.2803908; -0.0911261; 7.8045544; -1.4524022
50.3849945; -49.2991701; -8.9868042; 1.2619802; -0.0930401; 7.7672571; -1.4000157
50.5849349; -49.4890719; -8.9242557; 1.2431836; -0.0949864; 7.7311346; -1.3454701
50.7848754; -49.6777515; -8.8581121; 1.2239946; -0.0969671; 7.6962598; -1.2902933
50.9848158; -49.8651132; -8.7883230; 1.2044059; -0.0989842; 7.6626661; -1.2405982
51.1847563; -50.0510569; -8.7148396; 1.1844101; -0.1010400; 7.6302267; -1.1975244
51.3846967; -50.2354785; -8.6376160; 1.1640152; -0.1029747; 7.5987823; -1.1609991
51.5846372; -50.4182725; -8.5566154; 1.1432865; -0.1043810; 7.5681722; -1.1310113
51.7845776; -50.5993366; -8.4718184; 1.1222833; -0.1057217; 7.5382333; -1.1057931
51.9845181; -50.7785677; -8.3832131; 1.1010069; -0.1071133; 7.5088465; -1.0790781
52.1844585; -50.9558600; -8.2907899; 1.0794474; -0.1085541; 7.4800583; -1.0494646
52.3843990; -51.1311047; -8.1945406; 1.0575948; -0.1100461; 7.4519536; -1.0167381
52.5843395; -51.3041891; -8.0944590; 1.0354385; -0.1115914; 7.4246238; -0.9806189
52.7842799; -51.4749975; -7.9905407; 1.0129678; -0.1131923; 7.3981692; -0.9407952
52.9842204; -51.6434103; -7.8827836; 0.9901712; -0.1148512; 7.3726997; -0.8969197
53.1841608; -51.8093042; -7.7711878; 0.9670370; -0.1165706; 7.3483359; -0.8486044
53.3841013; -51.9725521; -7.6557560; 0.9435526; -0.1183534; 7.3252098; -0.7954158
53.5840417; -52.1330227; -7.5364938; 0.9197053; -0.1202024; 7.3034668; -0.7368692
53.7839822; -52.2905808; -7.4134097; 0.8954814; -0.1221208; 7.2832663; -0.6724214
53.9839226; -52.4450866; -7.2865155; 0.8708667; -0.1241119; 7.2647835; -0.6014634
54.1838631; -52.5963959; -7.1558266; 0.8458463; -0.1261794; 7.2482112; -0.5362485
54.3838035; -52.7443601; -7.0213623; 0.8204046; -0.1283271; 7.2334038; -0.4835735
54.5837440; -52.8888256; -6.8831462; 0.7945251; -0.1305592; 7.2200248; -0.4446891
54.7836844; -53.0296339; -6.7412064; 0.7681905; -0.1328802; 7.2076997; -0.4209935
54.9836249; -53.1666215; -6.5955761; 0.7413826; -0.1352948; 7.1960120; -0.4140403
55.1835654; -53.2996197; -6.4462938; 0.7140821; -0.1378077; 7.1844987; -0.4127164
55.3835058; -53.4284553; -6.2934049; 0.6862894; -0.1402146; 7.1730038; -0.4113969
55.5834463; -53.5529611; -6.1369701; 0.6581378; -0.1413953; 7.1615274; -0.4100815
55.7833867; -53.6730071; -5.9770872; 0.6299693; -0.1403900; 7.1500693; -0.4087703
55.9833272; -53.7885209; -5.8138997; 0.6020386; -0.1390178; 7.1386295; -0.4077239
56.1832676; -53.8994545; -5.6475646; 0.5743715; -0.1377534; 7.1272007; -0.4014170
56.3832081; -54.0057652; -5.4782373; 0.5469467; -0.1365935; 7.1159308; -0.3815837
56.5831485; -54.1074121; -5.3060698; 0.5197436; -0.1355355; 7.1052011; -0.3500659
56.7830890; -54.2043565; -5.1312111; 0.4927420; -0.1345772; 7.0953434; -0.3085527
56.9830294; -54.2965610; -4.9538073; 0.4659223; -0.1337163; 7.0866434; -0.2583309
57.1829699; -54.3839900; -4.7740019; 0.4392650; -0.1329511; 7.0793511; -0.2063056
57.3829104; -54.4666088; -4.5919359; 0.4127514; -0.1322799; 7.0735221; -0.1620132
57.5828508; -54.5443837; -4.4077487; 0.3863626; -0.1317013; 7.0689411; -0.1248654
